Month,Expected volume,Activity level,Procedures performed,Drop from expected volume
01/03/2020,303943,72.20%,219484,84458
01/04/2020,276309,14.30%,39385,236924
01/05/2020,299772,18.30%,54812,244960
01/06/2020,297846,32.90%,98032,199814
01/07/2020,299440,46.90%,140476,158965
01/08/2020,285106,59.30%,169159,115947
01/09/2020,280569,74.00%,207697,72872
01/10/2020,320984,76.80%,246469,74515
01/11/2020,317008,76.50%,242634,74374
01/12/2020,254729,78.80%,200746,53984
01/01/2021,302997,48.50%,146832,156166
01/02/2021,282766,56.90%,160937,121828
01/03/2021,303943,73.90%,224514,79429
01/04/2021,276309,82.20%,227154,49155
01/05/2021,299772,84.30%,252701,47071
01/06/2021,297846,95.20%,283479,14367
01/07/2021,299440,84.40%,252688,46752
01/08/2021,285106,84.20%,239964,45142
01/09/2021,280569,87.70%,246152,34417
01/10/2021,320984,77.10%,247575,73409
01/11/2021,317008,76.10%,241317,75691
31/12/2021,254729,75.80%,193108,61998
